w_sla,w_drop,policy,scenario,seed,mean_reward,sla_violation_rate,embb_goodput_mbps,urllc_rtt_p95_ms,guardrail_intervention_rate
0.5,0.0,static_equal,sawtooth,100,0.4048063203118402,0.0,3.0121610446016285,3.2987672210325774,0.0
0.5,0.0,static_equal,sawtooth,101,0.405753391021296,0.0,2.9950740655246606,3.289924767956022,0.0
0.5,0.0,static_equal,sawtooth,102,0.40474294810177,0.0,3.008194130571307,3.356470848367056,0.0
0.5,0.0,threshold,adversarial,100,0.48569146225107546,0.03333333333333333,4.8832488991682705,3.8319866141594794,0.040740740740740744
0.5,0.0,threshold,adversarial,101,0.5056020975898655,0.02962962962962963,4.967442341304454,4.624337027824596,0.02962962962962963
0.5,0.0,threshold,adversarial,102,0.5055751532609756,0.02962962962962963,4.957057590422353,3.8162045194398626,0.02962962962962963
0.5,0.0,threshold,burst,100,0.3487415846607721,0.014814814814814815,2.7736888799912043,5.247695647402504,0.037037037037037035
0.5,0.0,threshold,burst,101,0.34713683270592793,0.014814814814814815,2.788924174004335,5.265976613934069,0.037037037037037035
0.5,0.0,threshold,burst,102,0.3499594030793463,0.014814814814814815,2.796853762684271,5.328117909824268,0.044444444444444446
0.5,0.0,threshold,ramp,100,0.43807806144291134,0.0,3.3999737342753846,4.214598528794499,0.037037037037037035
0.5,0.0,threshold,ramp,101,0.42590784049051966,0.003703703703703704,3.3375831689658244,4.198676597750054,0.03333333333333333
0.5,0.0,threshold,ramp,102,0.4360964413737449,0.0,3.3654325221508907,4.1903288488059856,0.02962962962962963
0.5,0.0,threshold,sawtooth,100,0.4056727557430421,0.018518518518518517,3.5135522107160293,5.300167895106024,0.08888888888888889
0.5,0.0,threshold,sawtooth,101,0.43544850490774195,0.007407407407407408,3.542093561839008,5.234362730394207,0.08148148148148149
0.5,0.0,threshold,sawtooth,102,0.40581292310815875,0.018518518518518517,3.5335246483879126,5.409917894466877,0.09259259259259259
0.5,0.0,linucb,adversarial,100,0.46951824735712444,0.02962962962962963,4.529239155892388,4.986189969132258,0.12222222222222222
0.5,0.0,linucb,adversarial,101,0.43611379023920205,0.037037037037037035,4.340735720571413,5.392977919192331,0.15925925925925927
0.5,0.0,linucb,adversarial,102,0.4277458037048308,0.037037037037037035,4.18997610651937,4.907392095768832,0.15185185185185185
0.5,0.0,linucb,burst,100,0.3780154978735467,0.003703703703703704,2.809219810939702,5.257591477019625,0.018518518518518517
0.5,0.0,linucb,burst,101,0.36746126014491987,0.007407407407407408,2.807599093648855,5.237807832018642,0.02962962962962963
0.5,0.0,linucb,burst,102,0.3696213731670779,0.007407407407407408,2.8511556287520383,5.3431203755669054,0.1037037037037037
0.5,0.0,linucb,ramp,100,0.421023136221621,0.003703703703703704,3.3512459486854373,5.4840846953066,0.3888888888888889
0.5,0.0,linucb,ramp,101,0.4186686768690566,0.003703703703703704,3.3448891972884462,5.59829082371038,0.4185185185185185
0.5,0.0,linucb,ramp,102,0.42975240866860975,0.0,3.3631145073411792,5.562011910745579,0.3592592592592593
0.5,0.0,linucb,sawtooth,100,0.4247971305349648,0.007407407407407408,3.426096955400707,5.188189544067424,0.07407407407407407
0.5,0.0,linucb,sawtooth,101,0.42491580426318787,0.007407407407407408,3.4181782951551263,5.250765374294915,0.14074074074074075
0.5,0.0,linucb,sawtooth,102,0.42255787746073736,0.007407407407407408,3.438591252882845,5.438865408695695,0.14814814814814814
0.5,0.5,static_safe,adversarial,100,-0.04299084523691879,0.0,2.0,3.2009041157100344,0.0
0.5,0.5,static_safe,adversarial,101,-0.04500706064063098,0.0,2.0,3.013786333761693,0.0
0.5,0.5,static_safe,adversarial,102,-0.05967033203995815,0.0,2.0,2.9657279839046975,0.0
0.5,0.5,static_safe,burst,100,0.09839886111954572,0.0,1.9702268035342274,2.0,0.0
0.5,0.5,static_safe,burst,101,0.09548353979568355,0.0,1.9833226062358258,2.0,0.0
